Number, Answer, Question
"",,"When turning right at an intersection, drivers must signal their turn 30 meters"
236,O,before reaching the intersection. They must move into the outer lane or right turn
"",,lane or slow lane and then make their turn.
"",,"If a driver violates the traffic rules and their driver's license is thus suspended,"
237,O,they are required to attend traffic safety classes.
"",,"Roads are defined as highways, freeways, expressways, roads, streets, lanes,"
238,O,"alleys and plazas, arcades, corridors, and all other passageways provided for use"
"",,by the general public.
"",,Drivers whose blood alcohol level exceeds legal limit and cause an accident
239,O,resulting in major injury or death will be fined and their driver's license
"",,cancelled. They will not allow to obtain a driver's license again.
"",,Drivers refusing to take a blood alcohol test (breathalyzer test) will be fined NTD
240,X,"30,000."
"",,"Drivers, front-seat passengers, or rear seat passengers of small vehicles who do"
241,O,not fasten safety belts on general roads other than freeways or expressways will
"",,"be fined NT$1,500."
"",,"Drivers that use hand-held cell phones, computers, or other similar devices to"
242,O,"call, talk, digitally communicate, or do other actions that might hinder driving"
"",,"safety while operating a moving vehicle on the road will be fined  3,000 NTD."
"",,When someone drives with an alcohol concentration level exceeding the standard
243,O,"limit, in addition to having the automobile impounded and the license suspended,"
"",,"they will be fined NT$30,000~NT$120,000."
"",,If any juvenile under the age of 14 years violates the Directives  Governing
244,O,"Penalties for Violation of Traffic Rules, their parents or legal guardian will be"
"",,held responsible for their actions and penalized accordingly.
"",,If a large vehicle is not equipped with a driving recorder/vehicle mileage tracking
245,O,"system, or the system is not functioning or being tampered, the driver will be"
"",,fined and the vehicle will be subject to immediate inspection.
"",,"If a person possessing only a car driver's license drives a large vehicle, like a"
246,O,"truck, both the large vehicle owner and the driver will be fined NTD 40,000 ~"
"",,"80,000 and a traffic violation will be recorded with that large vehicle."
"",,Any person younger than 18 years old caught driving a car or motorcycle without
"",,a driver's license will be fined and prohibited from driving on the spot.
247,O,"Additionally, both the driver and their parents or legal guardian will be required"
"",,to attend traffic safety classes.
"",,"If a car overloaded with goods, or a car with or without a trailer attached is found"
"",,"to exceed the weight limit of a bridge, the driver will be ordered to immediately"
248,X,
"",,"reduce the weight or denied passage. They will be fined NTD 10,000 regardless"
"",,of how much the weight exceeds the legal limit.
"",,Drivers who don't obey traffic signs will be fined and receive a traffic violation
249,O,on their driving record.
"",,The penalty for driving on a pedestrian walkway is a fine and a traffic violation
250,O,on your driving record.
"",,"If a driver runs a red light, they will be fined but not receive 3 traffic violation"
251,X,points on their driving record.
"",,Drivers who make U-turn on a No Left Turn road will be fined and receive a
252,O,traffic violation on their driving record.
"",,To turn around by going around a round-about is too much trouble; to make it
253,X,"easier, just make a U-turn; drivers who do this will not be fined and do not"
"",,violate traffic laws.
"",,If a driver passes another vehicle although that vehicle has not yielded them the
254,O,"right of way by pulling over to the side of the road, the driver passing will be"
"",,fined.
"",,Penalty for receiving 6 traffic violation points within one year is only a one
255,X,"month suspension of driver's license. Therefore, it's not necessary to follow"
"",,traffic rules.
"",,"If driver's blood alcohol is found to exceed limit, the penalty is 2 traffic violation"
256,X,"points, but no fines."
"",,"Since you will not receive any traffic violation points for breaking a traffic rule,"
257,X,so you can just ignore traffic rules.
"",,"If a driver is cited for a traffic violation three times within three months, their"
258,O,vehicle registration will be suspended.
"",,"Parking for any length of time, backing up or driving in reverse, and passing are"
259,O,all strictly prohibited in tunnels.
"",,Drivers are required to comply with traffic control signs when driving through a
260,O,tunnel.
261,O,Drivers are required to follow speed limit when driving in a tunnel.
"",,"If drivers encounter a traffic jam or an emergency when driving in a long tunnel,"
262,X,they may make U-turn at the connection tunnel to quickly get out of the tunnel.
"",,Both freeways and expressways have an acceleration lane to the right of an off-
263,X,ramp lane which allows drivers to speed up in order to exit the main road.
"",,Both freeways and expressways have an acceleration lane to the right of an on-
264,X,ramp merge lane which allows drivers to decelerate when merging onto the main
"",,road.
"",,"On a freeway or expressway, no vehicle is permitted to drive straddling two"
265,O,"lanes, recklessly changing lanes, make a U-turn, or drive in an oncoming traffic"
"",,lane on any lane or road shoulder.
"",,"On freeways and expressways, drivers are not permitted to stop their vehicle"
266,O,"suddenly or temporarily, except to slow down due to special circumstances, such"
"",,as an accident. (Freeway and Expressway Traffic  Rule 10).
"",,"On freeways and expressways, drivers are not permitted to pass other vehicles in"
267,X,"the deceleration lane or on a single-lane off-ramp. But in the acceleration lane,"
"",,it's permitted to pass other vehicles if they are moving too slowly.
"",,An interchange is the lane to the farthest right of an on-ramp lane for a main lane
268,X,that allows drivers to accelerate in order to merge into the main lane.
"",,A ramp is the lane to the farthest right of the exit lane from a main lane that
269,X,allows drivers to decelerate before exiting a main lane.
"",,A deceleration lane is the farthest right lane that allows drivers to decelerate
270,O,before exiting a road.
"",,"Trucks, vehicles for carrying both goods and passengers, and trailer trucks are"
"",,
"",,required to enter weigh stations in accordance with the instructions shown on the
271,O,
"",,"signs, road markings, and signals. Drivers may not stop their vehicles abruptly on"
"",,the weight scales under any circumstances.
272,O,Main lanes are defined as lanes designated for vehicles moving straight ahead.
"",,"On any lane or shoulder of a freeway or expressway, vehicles are permitted to"
273,X,"zigzag in and out of traffic, make a U-turn, or drive in an oncoming traffic lane."
"",,"On freeways and expressways, drivers may pass vehicles in an acceleration lane,"
274,X,"deceleration lane, and on a single-lane ramp."
"",,"On freeways and expressways, drivers are required to comply with specific"
275,O,"freeway and expressway traffic rules, as well as general road safety rules."
"",,Freeways are highways on which access is restricted for some types of vehicles
276,O,and on which the opposing directions of traffic are separated by an island or
"",,other barrier. Freeways connect to other roads on multilevels.
277,X,"Freeways have fast lanes, slow lanes, pedestrian crosswalks, and zebra lines."
"",,
"",,"Interchanges are the multi-level ramps that connect freeways to expressways, as"
278,O,well as connect freeways and expressways to other roads.
"",,Drivers may make a U-turn in the gap between the oncoming traffic lanes of a
279,X,freeway or expressway.
"",,Freeways and expressways are under the local jurisdiction of the government
280,O,authority which has control over all roads passing through their respective area.
"",,During any emergency which renders a driver incapable of continuing to drive on
281,O,"a freeway or expressway, the driver should pull over to the road shoulder to stop,"
"",,and wait for help.
"",,"In the event of a vehicle breakdown on a freeway or expressway, the driver is"
282,O,allowed to park their vehicle on road shoulder for a maximum of two hours.
"",,"On freeways and expressways, drivers may not stop their vehicle to load or"
283,O,"unload passengers or goods, except in designated locations."
"",,Freeways and expressways have special signs used only on freeways and
284,O,expressways in addition to signs used on regular roads.
"",,
"",,"Freeways and expressways have an island, open area, or other barrier that"
285,O,
"",,separates the traffic approaching from the opposite direction.
"",,"If drivers miss the exit interchange on a freeway or expressway, they should"
286,X,immediately back up or make a U-turn to return to the interchange they missed.
"",,"The Freeway Bureau, MOTC is the freeway and expressway management"
287,O,"authority for national highways, while the Directorate General of Highways,"
"",,MOTC is in charge of provincial highways.
"",,Drivers on freeways or expressways are required to regulate their speed in
288,O,accordance with the speed limit signs.
"",,"Because motorcycles over 550cc have outstanding road performance, skillful"
289,X,drivers may drive on any sections of the freeways and expressways at any time.
"",,"Regardless of the brand or age, automobiles with a displacement less than 1,200"
290,X,cc are prohibited on freeways and expressways.
291,X,The current speed limit on freeways is 120km per hour.
"",,"If the water level, power level, or fuel level of a vehicle is low, it is not permitted"
292,O,on a freeway or expressway.
"",,If a driver encounters traffic congestion on a freeway or expressway due to an
293,X,"accident, they are allowed to temporarily park their vehicle on road shoulder."
"",,The inner lane of a freeway or expressway is the designated passing lane.
"",,"However, drivers may use the inner lane when they are not passing another car"
294,O,
"",,provided they drive at the maximum speed limit allowed on that road and do not
"",,block traffic.
"",,"On freeway with a maximum speed limit of 90km per hour, vehicles traveling at"
295,O,"less than 80km per hour are required use the outside lane, but may still use the"
"",,adjacent outside lane to pass other vehicles.
"",,Drivers may park their vehicle a maximum of 12 hours in a rest area along a
296,X,freeway.
"",,
"",,Drivers are required to comply with the designated speed limits on freeways and
297,O,
"",,expressways during normal weather conditions.
"",,Drivers are required to maintain a vehicle speed of at least 60km per hour when
298,X,"they are driving in heavy fog, heavy smoke, heavy rain, or gusty winds on"
"",,freeways and expressways.
"",,"Drivers are prohibited from passing on acceleration, deceleration and single-lane"
299,O,ramps.
"",,Drag racing or driving side-by-side with another vehicle at low speed is
300,O,prohibited on freeways and expressways.
"",,"When driving at a high speed, a driver is more likely to panic if any adverse"
301,O,traffic incident occurs.
"",,Drivers traveling at a high speed are equally as capable of reacting to any
302,X,emergency as drivers traveling at a slower speed.
"",,A driver's visual capability remains the same no matter what speed they are
303,X,traveling at.
"",,"When traveling at a high speed, drivers must pay special attention to the traffic in"
304,O,the other lanes.
"",,"As freeways and expressways are wide, open, and flat, they are more conducive"
305,O,"to driving at high speeds.  Therefore, drivers must be especially cautious not to"
"",,exceed the speed limit.
"",,"At high speed, tires are subject to higher stress, heat, and transformation."
"",,"Therefore, tire treads should be deep enough, and the tire pressure normal, in"
306,O,order to avoid getting a flat tire or having a blowout on the road.
"",,Drivers are required use their turn signal light and maintain a safe driving
307,O,distance when they merge into a main lane from an on-ramp acceleration lane.
"",,If a driver merging onto a freeway or expressway finds there is a lot of traffic in
"",,"the main lane they are attempting to merge into, they are required to slow down"
308,O,and stay in the acceleration lane until it is safe to merge into the main lane.
"",,"For safety reasons, prior to changing lanes, drivers are required to signal their"
309,O,turn to the vehicles in front of and behind them with their turn signal light and at
"",,the same time watch out for traffic in the other lanes.
"",,If a driver is aware that a vehicle in the adjacent lane has turned on their turn sign
310,X,"light indicating their intention to pass, they should speed up to avoid being"
"",,passed.
"",,"On freeways and expressways, vehicles traveling at a speed of 90km per hour"
311,O,have to maintain a safe driving distance of at least 45 meters from the vehicle in
"",,front of them under the normal weather conditions.
"",,"When driving on a freeway or expressway, if a driver is about to miss or has just"
312,X,"missed their exit, they may make a sudden stop or drive in reverse in order to"
"",,take that exit.
"",,"If a vehicle suddenly breaks down on a freeway or expressway, drivers should"
"",,"first be aware of nearby vehicles, and operate the turn signal to pull off the road;"
313,O,they can then slowly reduce speed and pull over to the road shoulder. They must
"",,"then place a vehicle breakdown sign 50~100 meters behind the vehicle, and"
"",,change the turn signal to hazard flashers.
"",,"If, after cargo is loaded onto a vehicle, the cargo width is wider than the vehicle,"
"",,the driver is required to apply for a temporary permit from the Motor Vehicle
314,O,"Registration Department, either at the drive's starting point, or where the vehicle"
"",,"is registered, before transporting the cargo."
"",,"If, after cargo is loaded onto a vehicle, the overall height is over four meters, the"
"",,driver is required to apply for a temporary permit from the Motor Vehicle
315,O,
"",,"Registration Department either at the starting point, or where the vehicle is"
"",,"registered, before transporting the cargo."
"",,"When a bus is driving on a freeway or expressway, the driver and passengers"
316,O,over the age of four should fasten their seat belts.
"",,The freeway or expressway authority can regulate the times vehicles are either
"",,"prohibited from or permitted to use certain lanes, the shoulders of certain roads,"
317,O,"and the on and off ramps of certain freeways and expressways, as well as the"
"",,number people that can be carried by certain vehicles.
"",,Vehicles traveling on freeways and expressways are prohibited from straddling
318,O,"two lanes at the same time, making U-turns, driving in reverse, and driving in the"
"",,oncoming traffic lanes.
"",,"While traveling on roads, vehicles may not suddenly reduce speed or randomly"
319,O,change lanes.
320,O,Motorcycles less than 550 cc may not be driven on freeways.
"",,Emergency phones are provided along freeways at regular intervals to allow
321,O,drivers call for help or to report road incidents and accidents.
"",,The inner lane of freeways and expressways is the designed passing lane.
322,X,"However, both large vehicles and cars may drive in the passing lane provided"
"",,that they drive at the maximum speed limit for that road and do not block traffic.
"",,"On freeways and expressways, large vehicles are required to use the outside"
323,O,lanes and use the adjacent lane for passing vehicles in front of them.
"",,"On freeways and expressways, the cargo loaded on trucks must be covered and"
324,O,secured tightly. Sand or gravel loaded on a truck must be securely covered and
"",,under no circumstances can be higher than the top of cargo containment area.
"",,Trucks traveling on freeways or expressways that exceed the maximum weight
"",,limit by more than 20% may be fined repeatedly and continuously if the driver
325,O,
"",,"disregards the warning, fails to reduce the weight and continues to transport the"
"",,same load.
"",,"On freeways or expressways, any long, oversized object loaded on a  truck may"
326,O,not block the rear lights or the license plate.
"",,"While a vehicle is traveling on the road, the driver, front-seat passengers, and"
327,O,rear seat passengers of a small vehicle are required to wear safety belts.
"",,
"",,Buses traveling on freeways and expressways are permitted to allow passengers
328,X,
"",,to stand in order to serve more customers.
"",,Vehicles traveling on freeways or expressways are prohibited from honking their
329,O,"horn non-stop, flashing their lights, or using other methods to force the vehicles"
"",,in front of them to yield the way.
"",,"When driving on freeways or expressways, vehicles must not have any"
330,O,"insecurely fastened, unstable, or detached vehicle parts, equipment, or"
"",,attachments.
"",,Under no circumstances is a driver allowed to drive a vehicle on a freeway or
331,O,expressway if the tires of that vehicle are falling apart or losing their treads along
"",,the road.
"",,
"",,Drivers traveling on freeways may drive on the shoulder of the road if there is a
332,X,
"",,traffic jam or heavy traffic.
"",,No tow vehicle (tow truck) may provide services along freeways or expressways
333,O,under any circumstances without a permit from the proper freeway or
"",,expressway administration authority.
"",,"Under the normal weather conditions, large vehicles traveling on freeway at a"
"",,speed of 100km per hour are required to maintain a safe driving distance of 80
334,O,meters from the vehicle in front of them and cars must maintain a safe driving
"",,distance of 50 meters from the vehicle in front of them.
"",,"On freeways or expressways with a maximum speed limit of 80km per hour, cars"
335,O,are required to maintain a safe driving distance of at least 40 meters from the
"",,vehicle in front of them for safety reasons.
"",,"On freeways or expressways, drivers are required to maintain a longer safe"
"",,
"",,driving distance between themselves and the vehicle in front if there is heavy
336,O,
"",,"fog, heavy smoke, gusty winds, or heavy rain, or if they are driving at night or"
"",,there are any other special circumstances.
"",,"Prior to driving on a freeway or expressway, drivers are required to familiarize"
337,O,themselves with the road and traffic conditions as much as possible.
338,O,Speeding is one of the leading causes of road accidents.
"",,"Even if a driver didn't sleep well the night before, they can still drive as long as"
339,X,they do so cautiously.
"",,Being unfamiliar with the operation of your vehicle has nothing to do with
340,X,driving safety.
"",,Drivers are required to abide by traffic rules in order to minimize accidents.
341,O,
"",,
"",,To drive defensively means to take any and all possible action to prevent
342,O,
"",,accidents from happening.
"",,"Now matter how much drivers familiarizes themselves with road conditions, it"
343,X,won't make driving any safer.
"",,Drivers may speed late at night and early in the morning when there are few
344,X,vehicles and pedestrians on the road.
"",,"Before driving at night, drivers are required to clean the glass on the windshield"
345,O,and the two front doors to improve safety.
"",,If an oncoming vehicle traveling at night does not switch to their lowbeam
346,X,"headlights, the other driver may use their high-beam lights to retaliate and"
"",,"improve visibility and safety, as well."
"",,Drivers should slow down when traveling through a flooded area and test their
347,O,brakes to make sure they are still in good working condition after they have
"",,passed through the flooded area.
"",,Looking far down the road up ahead and maintaining a safe driving distance
348,O,from other vehicles are two of the most important ways to prevent accidents from
"",,happening.
"",,"If a driver is involved in an accident, they are required to stop their vehicle as"
349,O,"quickly as possible, not disturb the scene of the accident, and contact the"
"",,authority responsible for processing the accident scene.
"",,"When an accident occurs, arguing about liability is much less important than"
350,O,"getting immediate help to protect human life, and minimize injuries and property"
"",,loss or damage.
"",,"In the event of an accident, the drivers involved may go ahead immediately clear"
"",,"the road of any vehicles or debris, so other drivers can use the road as quickly as"
351,X,possible. They need not wait for instructions from the proper authorities first.
"",,Any settlement related to an accident shall be agreed upon by the parties
352,O,"involved in the accident, their legal counsel, guardian or heirs."
"",,"If the other driver is liable for the accident and was injured in the accident, you"
353,X,have no legal obligation to take that person for medical treatment and can thus
"",,avoid additional trouble.
"",,"Passengers may not stretch their head, arms, or body out of the window of a"
354,O,moving vehicle.
"",,"If drivers encounter traffic congestion in a tunnel, they may switch to the lane"
355,X,"with less vehicles, thereby helping to alleviate the congestion and improve the"
"",,traffic flow.
"",,"Long tunnels are equipped with emergency phones, so drivers can contact the"
356,O,"control center to report any vehicle breakdown, accident, or disaster that has"
"",,occurred in the tunnel.
"",,"If an accident occurs in a tunnel, even if no one is injured and the vehicle is still"
"",,"drivable, drivers are required to keep the accident site as is by not disturbing the"
357,X,"scene or moving the vehicles, so the proper authorities can better determine"
"",,liability.
"",,"At the scene of an accident, you should pat or shake any wounded person who is"
358,X,unconscious to help them regain consciousness.
"",,"When an accident occurs, it is better to administer first-aid to the injured inside"
359,O,their vehicle unless there is a danger that the vehicle could catch on fire or
"",,explode.
"",,"If a wounded person has to be lifted, you must lift their whole body together"
360,O,"keeping all parts level, not just pick the person up by lifting them from under the"
"",,neck and legs only.
"",,Drivers only need to have outstanding driving skills. They don't need to know
361,X,anything about first-aid at all.
"",,Drivers are required to use gasoline containing a sufficient amount of octane for
362,O,their vehicle as stated in their user's operating manual.
"",,Gasoline containing an insufficient amount of octane is likely to burn
363,O,"abnormally, possibly resulting in backfiring, poor fuel efficiency, and loss of"
"",,engine power (Hp).
"",,Getting rid of unnecessary load will make your vehicle more fuel efficient.
364,O,
"",,Drivers do not have to warm up their vehicle before driving. Driving slowly is
365,O,sufficient to help the engine reach the normal operating temperature.
"",,Drivers should steadily and gradually increase their vehicle speed and avoid
366,O,driving in low gear for long periods of time.
"",,Steadily increasing the speed after starting the vehicle and maintaining a steady
367,O,speed are the best ways to save fuel.
"",,"During the rush hour, drivers should avoid busy congested routes in order to save"
368,O,fuel.
"",,Drivers who fail to use the proper designated lane will be cited without being
369,O,stopped.
"",,"If an infant in a passenger car is not seated in an approved child safety seat, the"
370,O,"drivers will be fined NTD 1,500~3,000."
371,O,Drivers will be fined if they do not use their lights in accordance with the law.
"",,"If a road is being used for commercial purposes, such as selling goods, the"
372,O,perpetrator will be ordered to stop immediately and either the perpetrator or their
"",,employer will be fined.
"",,It is not necessary to go to the Motor Vehicle Registration Department and apply
373,X,"for a vehicle inspection after modifying or replacing key parts or equipment, such"
"",,"as the vehicle body, engine, chassis, or electrical system."
"",,The driver of a motor vehicle that is loaded with goods and fails to weigh the
"",,"vehicle in accordance with the signs, markings, or traffic signals within 5"
374,O,
"",,"kilometers of a weigh station shall be fined NT$90,000 and may be forced to"
"",,weigh the vehicle.
"",,Vehicles may drive through a pedestrian crosswalk without a traffic signal at full
375,X,speed to avoid traffic congestion.
"",,Drivers who make a right turn while the traffic light is red will be fined NT$600
376,"O  ~1,800.",
"",,"A professional driver, aged 68 or over, of a light vehicle, who has not had his/her"
"",,"driver's license suspended within the previous year, and has passed a medical"
377,O,"examination in accordance with the regulations, as well as the cognitive function"
"",,"test for car drivers, or having a certificate that shows that he/she is not suffering"
"",,"from dementia, may renew his/her professional driver's license valid for one"
"",,"year, or extend the validity period of his/her professional driver's license for a"
"",,light vehicle by adding an annual endorsement until he/she reaches the age of 70.
"",,Those who drive a vehicle without the proper license are subject to penalties and
378,O,"having their driver's license suspended. In addition, they are not eligible to apply"
"",,for any other license during the suspension period.
"",,"Owners of motorcycles, passenger cars, vans, and small trucks are required to"
"",,submit their VIN (vehicle identification number) certificate issued by
379,O,
"",,"manufacturer, sales agent or importer and approved by the Ministry of the"
"",,Interior when applying for license plates.
"",,"A vehicle owner may not put decorative lights on the body of any vehicle, or"
380,O,spray paint or put tape on the lights of their vehicle for decorative purposes.
"",,Drivers of vehicles with four or more wheels may not use the slow lane unless
"",,"they are just starting up the vehicle, making a turn, or pulling over to park."
381,O,"However, on roads with a safety island separating the slow and fast lanes, these"
"",,drivers may use the slow lane.
"",,"Drivers may not park their vehicle on winding, sloping or narrow roads, or on"
382,O,"channelizing lines, safety islands or any road under repair or construction."
"",,"On freeways and expressways, drivers of heavy motorcycles over 550cc are"
383,X,allowed to drive side-by-side and pass each other in the same lane.
"",,"On freeways and expressways, drivers of heavy motorcycles  over 550cc are"
384,O,required to wear a standard safety helmet. The helmet should be a  full face or an
"",,open face helmet.
"",,The tires on heavy motorcycles with displacement over 550cc driven on freeways
385,O,and expressways should be carefully checked to ensure they do not have treads
"",,less than 1mm in depth at any point.
"",,"On freeways and expressways, drivers of heavy motorcycles over 550cc are"
386,O,required to keep the headlight on at all times.
"",,Margin of safety refers to the amount of time and distance required for a driver to
387,O,react and stop their vehicle in emergency.
"",,"By always maintaining a margin of safety, drivers can take an additional"
388,O,protective measure.
"",,"To drive steadily means to accelerate from a stop slowly, make turns a little bit"
"",,"slower, not speed, not change lanes erratically, keep a safe driving distance, not"
389,O,
"",,"slam on the brakes suddenly, not compete for road or lane space, and not run red"
"",,lights.
"",,"Prior to driving, drivers are required to adjust their seat, and clean and adjust"
390,O,"their left and right sideview mirrors, as well as the rearview mirror to the most"
"",,"appropriate angle, so they can see clearly all around their vehicle."
"",,Although it may not be necessary to look far ahead when starting a vehicle and
391,O,"thus driving at a slow speed, drivers should look farther and farther ahead as the"
"",,speed of their vehicle increases.
"",,The driver of the rear vehicle is required to maintain a distance that is safe
392,O,enough to stop their vehicle before a collision.
"",,"To avoid causing an accident, drivers are required to maintain a safe driving"
393,O,distance.
"",,"The main causes of traffic accidents are tailgating, erratically overtaking another"
394,O,"car, randomly changing lanes, abruptly cutting into another lane to turn, and"
"",,speeding.
"",,Reaction distance refers to the distance traveled before a driver took action after
395,O,identifying a situation requiring an immediate countermeasure.
"",,"The longer the distance is between the shaft and wheels, the larger the minimum"
396,O,U-turn radius.
"",,Peripheral vision refers to the driver's ability to see objects located to the side
397,O,when they are looking straight forward.
"",,"The faster the speed the greater the driver's field of view, so objects in the"
398,X,distance are easier to see.
399,O,"The faster the speed, the narrower the driver's field of view."
"",,Drivers should drive especially careful on rainy days because roads become
400,O,slippery and making U-turns or sudden stops can easily cause an accident.
"",,Do not step on the brakes when the tire skids in a curve. The safest measure is to
401,O  ease off the accelerator.,
"","IIf the back end of a vehicle is skidding to the right, the driver should also steer to",
402,O,
"",the right in order to get control of and straighten out the car.,
"","Although drivers may leave children in a vehicle unattended for up to 20 minutes,"
403,X  they must be sure to lock all the doors and not leave their keys in the car.
"","If a driver causes an accident that results in injury or death, the driver is required"
"","to administer first-aid immediately, comply with all laws regarding accidents, and"
"",notify the police immediately so they can process the scene of the accident.
404,O  Drivers may not remove the vehicle or evidence related to the accident from the
"","scene. But if all parties involved in the accident agree, the drivers may mark the"
"",location of the vehicles on the road surface and move the vehicles from the scene
"",in order to not block traffic.
"","Most accidents are caused by driver negligence or error, and bad driving habits."
405,O
"",
"","If I have nothing to do with an accident, I should leave the scene of the accident"
406,X
"",immediately without calling the police.
"","If the parties involved in an accident cannot agree on liability, they may request"
407,X  the police or Motor Vehicle Registration Department to make an assessment.
"",If the parties related to the accident intend to contest the assessment made by the
408,"O  accident assessment commission, they may request the review commission to"
"",review the case within 30 days.
"","If drivers have taken flu medicine or tranquilizers, they can still drive as long as"
409,X  the medicine or tranquilizers do not affect their ability to drive.
"",
"",Drinking alcohol impairs both the vision and reaction time which thereby causes
410,O
"",accidents.
"","Although drinking alcohol slows down reaction time, it improves vision."
411,X
412,X  Children are required by law to be seated in the front seat of a car.
"","Before allowing a friend to use a vehicle or motorcycle, the owner is required to"
"","make sure the friend has a driver's license, is in good physical condition, and is"
413,O
"",mentally sound or competent. The owner must also disclose pertinent information
"",about the vehicle to the friend.
"","After refueling, the gas tank cap should be appropriately tightened in order to"
414,O  minimize loss of fuel caused by evaporation and keep the gasoline free from
"",contamination.
"","When refueling, drivers are required to turn off their engine and may not smoke,"
415,O  make calls or answer calls with their cell phone for safety reasons.
"",,"When removing the cap from gas tank, drivers have to be cautious of the pressure"
"",,build up inside the tank. Drivers should first turn the cap counter-clockwise for
416,O,
"",,"half a turn, then wait for a hissing sound indicating the pressure has been"
"",,"released, so fuel will not spray out.."
"",,"To properly put the gas cap back on after refueling, the driver should turn the cap"
417,O,clockwise until they hear a ratchet or clicking sound indicating that the cap has
"",,been securely tightened.
"",,"Prior to driving, student drivers are not required to check the vehicles because"
418,X,that's the job of their instructor.
"",,"If the headlights are shining farther than usual at night, that indicates the vehicle"
419,O,is traveling downhill.
"",,"If a driver turns off their engine and coasts downhill, the power steering wheel"
420,O,and powers brakes will not function normally and may cause an accident.
"",,"Drivers are required to use their foot brakes, not shift into a lower gear in order to"
421,X,better control their speed when traveling down a long steep slope.
"",,Using the gears to control speed when traveling down a long steep slope is safer
422,O,and creates less wear on the car.
"",,"When traveling down a long steep slope, drivers are required to switch into low"
423,O,"gear to utilize the engine to control their speed, rather than using the foot brakes"
"",,excessively.
"",,Automatic shift vehicles outperform manual drive vehicles with respect to using
424,X,gears to control or slow down the vehicle.
"",,Drivers traveling uphill may not drive erratically and may not turn off the engine
425,O,
"",,and coast downhill.
"",,"When drivers are traveling uphill or downhill, they should ideally shift into 2nd"
426,X,gear when traveling uphill and 3rd or 4th gear when traveling downhill in order
"",,to save fuel and time.
427,X,Drivers may shift into overdrive (O/D) to slow down their speed.
"",,The exhaust discharged by a vehicle increases as the frequency of  acceleration
428,O,and deceleration increases.
"",,Putting abrupt pressure on the accelerator pedal is likely to waste fuel and
429,O,increase vehicle exhaust.
430,X,"The faster a person drives, the more fuel they can save."
"",,"At the same speed, a low speed gear has more torque than a higher speed gear."
431,O,
"",,Drivers do not have to abide by the speed limit shown on signs or road markings.
432,X,
"",,"If drivers accelerate from a stop quickly, they can shorten their travel time and"
433,X,save fuel.
"",,"For safety and environmental protection reasons, drivers are required to maintain"
434,O,"a steady speed and not frequently accelerate or decelerate abruptly, as well as"
"",,maintain a safe driving distance at all times.
"",,"Although abruptly accelerating and braking consumes more fuel, cause the tires"
435,X,"and brakes to wear out faster, and increase the chance of having an accident, it"
"",,doesn't have any effect on pollution what-so-ever.
"",,Drivers may not suddenly decelerate or slam on the brakes unless they have an
436,O,emergency or there is an accident.
"",,
"",,Drivers are required to first look left and then right when driving through an
437,O,
"",,intersection without traffic control.
"",,When drivers encounter an accident on the road at which the police are already
438,O,"on the scene, they must leave immediately and not hang around to watch."
"",,"When approaching an intersection with a yellow light, drivers should tap their"
439,O,brakes lightly to slowly reduce their speed and alert the drivers behind them in
"",,order to reduce the chance of an accident happening.
"",,"For safety reasons, drivers should start braking early and not brake abruptly to"
440,O,avoid a rear-end collision.
"",,"When approaching an intersection where the light has turned red, the driver can"
"",,save fuel and be more eco-friendly by simply considering the speed and distance
441,O,
"",,"between cars, rather than overusing the accelerator or the brake, allowing the"
"",,vehicle to simply roll to a stop.
"",,It is dangerous for the driver of a small vehicle to closely follow a larger vehicle
442,O,"because their view could be blocked, making it impossible for them to quickly"
"",,respond to any emergency.
"",,"Prior to pulling out of a parking space, parking, changing lanes, or turning,"
443,O,drivers are required to use their turn signal lights and drive cautiously to alert
"",,other vehicles and pedestrians.
"",,"In addition to using turn signals and checking the rear-view mirror, the driver"
444,O,should turn his/her head to make sure it is safe before making a turn.
"",,Since vehicles are equipped with left and right side view mirrors and a rearview
"",,mirror that allows the driver to check for vehicles or objects on both sides and
445,X,
"",,"behind them, as well as lights to signal other drivers, it is not necessary for"
"",,drivers to look over their shoulder to check before turning or changing lanes.
"",,Drivers making a left turn at an intersection should indicate their intention to turn
446,X,using their left turn signal or an arm signal just as they are about to make their
"",,turn.  They may not turn left from the oncoming traffic lane.
"",,"When the left-turn traffic light comes on, drivers are required to either slowly"
447,O,turn left or make a U-turn to prevent accidents from happening.
"",,Vehicles waiting to turn left at an intersection may do so as soon as the traffic
448,X,light turns green.
"",,Drivers in the left-turn only lane may go straight if they change their mind at the
449,X,last minute and decide they don't want to turn.
"",,"To avoid accidents, vehicle drivers should watch out for motorcycles that"
450,O,suddenly turn left in front of them with no warning.
"",,A green light simply lets you know that you can proceed forward. It does not
451,O,"ensure that it's safe to go. Therefore, you should proceed through any intersection"
"",,cautiously and slowly.
"",,Drivers should keep their eye on moving traffic when pulling out of a roadside
452,X,"parking space, but they do not have to signal their turn signal light."
"",,Drivers are required to signal with their right turn signal light before passing the
453,X,vehicle in front of them.
"",,When passing other vehicles on a two-way road with a broken yellow line
454,O,"separating oncoming traffic, drivers should spend the least amount of time"
"",,necessary in the oncoming lane to reduce the chance of an accident happening.
"",,Drivers must have sufficient time and space before making a turn or passing
455,O,another vehicle.
"",,"Before attempting to pass another vehicle, the driver should shift into a higher"
456,X,gear in order to improve their ability to accelerate quickly while passing.
